pictureFormat;width;height;pixelCount;totalSizeInBytes;cpuTine;memory;requestCount
PNG;1920;1280;2457600;58982400;37453125000;26988593016;134
PNG;5184;3456;17915904;429981696;20328125000;10522103048;37
BMP;640;426;272640;6543360;24812500000;15028412912;79
PNG;640;426;272640;6543360;51015625000;36609209752;174
BMP;1280;853;1091840;26204160;49062500000;34813159024;170
JPEG;960;639;613440;14722560;47937500000;33870085184;166
JPEG;960;639;613440;14722560;27359375000;19127314552;99
PNG;1280;853;1091840;26204160;31640625000;23158294176;120
BMP;5184;3456;17915904;429981696;33718750000;24976582976;124
BMP;5184;3456;17915904;429981696;43156250000;30464177112;143
PNG;640;426;272640;6543360;44625000000;31364056936;147
BMP;1280;853;1091840;26204160;51031250000;36666866328;175
JPEG;960;639;613440;14722560;29953125000;21249321032;114
PNG;1920;1280;2457600;58982400;20750000000;10722508968;39
BMP;1280;853;1091840;26204160;23640625000;12669291992;69
BMP;5184;3456;17915904;429981696;49703125000;35844636560;172
PNG;640;426;272640;6543360;21375000000;11183615992;49
PNG;1280;853;1091840;26204160;21437500000;11357316008;54
JPEG;960;639;613440;14722560;21218750000;11041029448;46
JPEG;960;639;613440;14722560;26015625000;16909555024;83
BMP;1280;853;1091840;26204160;11375000000;5984099040;16
BMP;640;426;272640;6543360;47578125000;33381251824;156
BMP;5184;3456;17915904;429981696;7765625000;4277888632;9
PNG;1280;853;1091840;26204160;47781250000;33762600408;164
PNG;5184;3456;17915904;429981696;11359375000;5926415144;15
JPEG;960;639;613440;14722560;26062500000;16916836776;84
JPEG;960;639;613440;14722560;11468750000;6024337392;20
PNG;5184;3456;17915904;429981696;17656250000;8616931152;30
JPEG;960;639;613440;14722560;26093750000;16989083992;87
JPEG;960;639;613440;14722560;49062500000;34755502216;169
PNG;1920;1280;2457600;58982400;23375000000;12409444336;62
JPEG;960;639;613440;14722560;51421875000;37627261560;179
JPEG;960;639;613440;14722560;21062500000;10844564864;42
PNG;640;426;272640;6543360;23593750000;12611607704;68
JPEG;960;639;613440;14722560;26062500000;16924118336;85
BMP;640;426;272640;6543360;26984375000;19007495472;94
BMP;1280;853;1091840;26204160;26078125000;16981802240;86
PNG;640;426;272640;6543360;27343750000;19120032800;98
BMP;640;426;272640;6543360;9437500000;5161718384;13
BMP;640;426;272640;6543360;23406250000;12493029744;65
BMP;640;426;272640;6543360;27015625000;19022066376;95
BMP;640;426;272640;6543360;47281250000;33134501264;152
PNG;5184;3456;17915904;429981696;46046875000;32366448352;150
BMP;640;426;272640;6543360;37718750000;27103367328;136
BMP;1920;1280;2457600;58982400;47687500000;33531607904;159
PNG;5184;3456;17915904;429981696;36781250000;26541675624;128
JPEG;960;639;613440;14722560;23546875000;12600516656;67
BMP;1920;1280;2457600;58982400;24812500000;15002751344;77
BMP;640;426;272640;6543360;29796875000;21176389784;110
JPEG;960;639;613440;14722560;47578125000;33366680728;155
BMP;640;426;272640;6543360;13421875000;6863103176;24
PNG;1920;1280;2457600;58982400;37078125000;26766333544;130
BMP;640;426;272640;6543360;11468750000;6017055608;19
PNG;1280;853;1091840;26204160;21718750000;11526618344;58
PNG;5184;3456;17915904;429981696;44484375000;31228750800;145
BMP;1920;1280;2457600;58982400;18687500000;9766696232;36
PNG;5184;3456;17915904;429981696;14968750000;7798483928;27
PNG;640;426;272640;6543360;47625000000;33392342872;157
BMP;1280;853;1091840;26204160;39265625000;27914533416;138
PNG;5184;3456;17915904;429981696;5093750000;1646705184;4
BMP;1280;853;1091840;26204160;7781250000;4335811896;10
PNG;1920;1280;2457600;58982400;23531250000;12593233152;66
BMP;1920;1280;2457600;58982400;47359375000;33259195568;153
PNG;5184;3456;17915904;429981696;47281250000;33119930360;151
BMP;640;426;272640;6543360;47625000000;33406913968;158
BMP;1280;853;1091840;26204160;47703125000;33704605384;162
BMP;5184;3456;17915904;429981696;18468750000;9620629640;33
JPEG;960;639;613440;14722560;24765625000;14878536448;76
BMP;5184;3456;17915904;429981696;24250000000;13825095224;72
BMP;1280;853;1091840;26204160;7843750000;4393495544;11
PNG;1920;1280;2457600;58982400;29765625000;21046451072;107
BMP;640;426;272640;6543360;23203125000;12309241376;61
BMP;1280;853;1091840;26204160;26906250000;18971071720;91
JPEG;960;639;613440;14722560;26953125000;18978353472;92
PNG;640;426;272640;6543360;21484375000;11382977448;56
BMP;1280;853;1091840;26204160;27421875000;19184998648;100
BMP;5184;3456;17915904;429981696;26531250000;17924318984;88
PNG;640;426;272640;6543360;24812500000;15013842200;78
PNG;1280;853;1091840;26204160;31546875000;23114856584;119
PNG;5184;3456;17915904;429981696;35093750000;25730065312;125
BMP;1280;853;1091840;26204160;21218750000;11033744840;45
BMP;640;426;272640;6543360;21453125000;11371886848;55
BMP;1920;1280;2457600;58982400;23796875000;12893710488;71
PNG;1280;853;1091840;26204160;27296875000;19108941560;97
PNG;5184;3456;17915904;429981696;42484375000;29421498040;140
BMP;1280;853;1091840;26204160;51437500000;37684918328;180
PNG;5184;3456;17915904;429981696;2312500000;882002128;2
